Name,QuantityType/0,DimensionalClass,SameUnit/0/_uom,SameUnit/0/_namingSystem,CatalogName,CatalogSymbol/_isExplicit,CatalogSymbol/__text,_id,_annotation,QuantityType/1,BaseUnit/BasicAuthority,QuantityType/2,BaseUnit/Description,Deprecated,QuantityType/3,QuantityType/4,QuantityType/5,QuantityType/6,QuantityType/7,SameUnit/1/_uom,SameUnit/1/_namingSystem,SameUnit/2/_uom,SameUnit/2/_namingSystem,QuantityType/8,QuantityType/9,QuantityType/10,QuantityType/11,QuantityType/12,ConversionToBaseUnit/Factor,ConversionToBaseUnit/_baseUnit,ConversionToBaseUnit/Fraction/Numerator,ConversionToBaseUnit/Fraction/Denominator,ConversionToBaseUnit/Formula/A,ConversionToBaseUnit/Formula/B,ConversionToBaseUnit/Formula/C,ConversionToBaseUnit/Formula/D,SameUnit/3/_uom,SameUnit/3/_namingSystem
feet/inch,scale,1,ft/in,RP66,POSC,true,ft/in,ftPin,ft/in,length per length,,,,,,,,,,,,,,,,,,,12,Euc,,,,,,,,
feet/metre,linear strain,1,ft/m,RP66,POSC,true,ft/m,ftPm,ft/m,relative elongation,,scale,,,linear concentration,length per length,,,,,,,,,,,,,0.3048,Euc,,,,,,,,
feet/mile,linear strain,1,ft/mi,RP66,POSC,true,ft/mi,ftPmi,ft/mi,relative elongation,,scale,,,linear concentration,length per length,,,,,,,,,,,,,,Euc,1,5280,,,,,,
feet/minute,velocity,L/T,ft/min,RP66,POSC,true,ft/min,ftPmin,ft/min,,,,,,,,,,,,,,,,,,,,,m/s,0.3048,60,,,,,,
foot per millisecond,velocity,L/T,ft/ms,RP66,POSC,true,ft/ms,ftPms,ft/ms,,,,,,,,,,,,,,,,,,,,304.8,m/s,,,,,,,,
feet/second,velocity,L/T,ft/s,RP66,POSC,true,ft/s,ftPs,ft/s,,,,,,,,,,,,,,,,,,,,0.3048,m/s,,,,,,,,
feet/second squared,acceleration linear,L/T2,ft/s2,RP66,POSC,true,ft/s2,ftPs2,ft/s2,,,,,,,,,,,,,,,,,,,,0.3048,m/s2,,,,,,,,
foot per microsecond,velocity,L/T,ft/us,RP66,POSC,true,ft/us,ftPus,ft/us,,,,,,,,,,,,,,,,,,,,304800,m/s,,,,,,,,
square foot,area,L2,ft2,RP66,POSC,true,ft2,ft2,ft2,,,,,,,,,,,sq ft,POSC,,,,,,,,0.09290304,m2,,,,,,,,
square feet/hour,kinematic viscosity,L2/T,ft2/h,RP66,POSC,true,ft2/h,ft2Ph,ft2/h,thermal diffusivity,,area per time,,,,,,,,,,,,,,,,,,m2/s,0.09290304,3600,,,,,,
